date_prediction,action_rl,action_executed,trade_return_executed,cumulative_return,y_true,y_pred_lgbm
2024-06-04,0,0,-0.010517258816920042,0.8432834520389066,2,1
2024-06-07,2,2,0.013846958295390331,0.8549603628304823,2,1
2024-06-12,0,0,-0.009629202823314765,0.8467277760908928,1,1
2024-06-17,2,2,-1.0973153688830801e-05,0.8467184848168732,1,1
2024-06-21,0,0,-0.0024301387601458314,0.8446608414079877,1,1
2024-06-26,2,2,-0.000512981004371347,0.8442275464412091,1,1
2024-07-01,0,0,-0.011311262015534848,0.8346782674626805,1,1
2024-07-05,2,2,0.011984540772987662,0.8446815031914138,1,1
2024-07-10,0,0,0.00047745550277650473,0.845084801023206,0,1
2024-07-15,2,2,-0.015383943051169371,0.8320840645708563,0,0
2024-07-18,0,0,-0.0020110397593374736,0.8304107104338931,1,0
2024-07-23,2,2,-0.017394646373278762,0.8159660097813124,1,0
2024-07-26,0,0,-0.011576945998550836,0.8065196153494211,0,0
2024-07-31,2,2,-0.060838733579317524,0.757451983344684,0,0
2024-08-05,0,0,-0.025640477652904402,0.7380305526925864,2,0
2024-08-08,2,2,0.021641926475316983,0.7540029556504969,2,0
2024-08-13,0,0,-0.022048277435366033,0.7373784892972287,2,0
2024-08-16,2,2,0.011990835424449746,0.7462202734079212,1,2
2024-08-21,0,0,0.0007134603906128314,0.7467526720156701,1,2
2024-08-26,2,2,-0.0044295161522514255,0.7434449189932398,0,2
2024-08-29,0,0,0.011271501512268155,0.7518246595219602,1,1
2024-09-04,2,2,-0.008880325990837943,0.7451482114574545,1,1
2024-09-09,0,0,-0.022794521232588794,0.7281629147299619,2,1
2024-09-12,2,2,0.0069374515929856205,0.7332145097027083,2,1
2024-09-17,0,0,-0.012062962211927255,0.7243697707789277,1,1
2024-09-20,2,2,0.003456341744056036,0.7268734402558032,1,1
2024-09-25,0,0,-0.0070287292942139,0.7217644436130912,1,1
2024-09-30,2,2,-0.010852972899597418,0.7139311536666654,1,1
